Incident,Date/Time of Request,Original Description of Expenditure,Amount Requested,Expenditure Not to Exceed,Approved Amount,Brief Description
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-21,"Due to 23-5162 - CSRD K21620 Lower East Adams Lake at Unknown, Currently the SEP EOC is activated to a level 3 in support of wildfires fires in our area. An evacuation order has
been issued for the properties Lee Creek, Scotch Creek, Celista and Magna Bay in Area F.
The electricity in these locations as well as other areas north of Shuswap Lake that have been isolated by the Bush Creek East wildfire,
including Anglemont, St Ives and Seymour Arm (which are isolated but not currently under evacuation alert or order) has been out for 4
days (with continuing ongoing outages
expected) and food contained in fridges and freezers is starting to expire. Residents cannot dispose of this waste in a safe manner as
they cannot transition through evacuation order areas at this time.
In order to protect private property (the privately owned appliances) as well as maintaining these homes in healthy condition, this is the
simplest and safest option. All local waste transfer stations are within evacuation order areas and are currently closed, so there are no
alternatives to dispose of this waste in a
safe and legal manner. We'd like to request an EAF approval from the EMCR PREOC for the rental, drop off, and emptying of large waste
bins, and the disposal of this waste.
Potential costs expected to be the costs to be as follows:
 Bin rental - approx. $15 per day. Suggest, at this time, that bins be in place for 2 weeks = $210
per bin.
 We suggest that 2 bins would be needed for this time - one in Anglemont and one in St Ives, or,
bins could be doubled for capacity.
 Costs for delivery, pick-up, and emptying of the bins are approximately $850 per bin, per trip.
As we are unaware of the demand required, and how often the bins might need to be emptied, we would like to budget appropriately for a
two week period with bin rental and management. We would like to request an EAF amount of $5,000, which would allow for both rentals
and multiple opportunities to empty the bins. is needed. This expenditure will support emergency response efforts. ",5000.0,6000.0,6000.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-21,"Currently the SEP EOC is activated to a level 3 in support of wildfires fires in our area. An evacuation order has
been issued for the properties Lee Creek, Scotch Creek, Celista and Magna Bay in Area F.
The electricity in these locations as well as other areas north of Shuswap Lake that have been isolated by the Bush Creek East wildfire,
including Anglemont, St Ives and Seymour Arm (which are isolated but not currently under evacuation alert or order) has been out for 4
days (with continuing ongoing outages
expected) and food contained in fridges and freezers is starting to expire. Residents cannot dispose of this waste in a safe manner as
they cannot transition through evacuation order areas at this time.
In order to protect private property (the privately owned appliances) as well as maintaining these homes in healthy condition, this is the
simplest and safest option. All local waste transfer stations are within evacuation order areas and are currently closed, so there are no
alternatives to dispose of this waste in a
safe and legal manner. We'd like to request an EAF approval from the EMCR PREOC for the rental, drop off, and emptying of large waste
bins, and the disposal of this waste.
Potential costs expected to be the costs to be as follows:
 Bin rental - approx. $15 per day. Suggest, at this time, that bins be in place for 2 weeks = $210
per bin.
 We suggest that 2 bins would be needed for this time - one in Anglemont and one in St Ives, or,
bins could be doubled for capacity.
 Costs for delivery, pick-up, and emptying of the bins are approximately $850 per bin, per trip.
As we are unaware of the demand required, and how often the bins might need to be emptied, we would like to budget appropriately for a
two week period with bin rental and management. We would like to request an EAF amount of $5,000, which would allow for both rentals
and multiple opportunities to empty the bins. is required for 23-5162 - CSRD K21620 Lower East Adams Lake response in Unknown. support emergency response efforts. ",5000.0,6000.0,6000.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-20,"Currently the SEP EOC is activated to a level 3 in support of wildfires fires in our area.
There are approximately 100 evacuees stranded in the remote community of Seymour Arm which has
been cut-off from other communities due to wildfire. These evacuees have limited access to food and
beverages. Shuswap Lifeboat Society will transport the food to the community via boat. We are looking
to provide a meals and beverages for tomorrow. SEP is requesting funds for $30-40 per evacuee. is required for 23-5162 - CSRD K21620 Lower East Adams Lake response in Unknown. support emergency response efforts. ",3000.0,4000.0,4000.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-20,"Due to 23-5162 - CSRD K21620 Lower East Adams Lake at Unknown, Currently the SEP EOC is activated to a level 3 in support of wildfires fires in our area.
There are approximately 100 evacuees stranded in the remote community of Seymour Arm which has
been cut-off from other communities due to wildfire. These evacuees have limited access to food and
beverages. Shuswap Lifeboat Society will transport the food to the community via boat. We are looking
to provide a meals and beverages for tomorrow. SEP is requesting funds for $30-40 per evacuee. is needed. This expenditure will support emergency response efforts. ",3000.0,4000.0,4000.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-20,"Due to 23-5162 - CSRD K21620 Lower East Adams Lake at Unknown, Currently the SEP EOC is activated to a level 3 in support of wildfires fires in our area.
There are approximately 100 evacuees stranded in the remote community of Seymour Arm which has
been cut-off from other communities due to wildfire. These evacuees have limited access to food and
beverages. Shuswap Lifeboat Society will transport the food to the community via boat. We are looking
to provide a meals and beverages for tomorrow. SEP is requesting funds for $30-40 per evacuee. is needed. This expenditure will support emergency response efforts. ",3000.0,4000.0,4000.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-09-22,"Due to 23-5162 - CSRD K21620 Lower East Adams Lake at Unknown, Currently the SEP EOC is activated to a level 3 in support of wildfires fires in our area.
The EOC is requesting support for a Donations Manager. This position started on August 21, 2023 and is acting as the primary donations
contact for the public and businesses. Duties include:
-Responding to calls and emails
-Coordinating storage, transportation and distribution of donated items
-Managing donations to ensure appropriate needs are met
Donations include items such as nonperishable food, clothing and toiletries. Donations management will transition to the Resiliency Centre
when appropriate.
The CSRD contacted local NGOs regarding their ability to take on donations management. The NGOs did not have the capacity, therefore
this position is a necessity.
Estimated duration: August 21, 2023  October 31, 2023
Total hours = 300
Rate = $35/hour is needed. This expenditure will support emergency response efforts. ",11000.0,15000.0,15000.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-09-22,"Requesting Currently the SEP EOC is activated to a level 3 in support of wildfires fires in our area.
The EOC is requesting support for a Donations Manager. This position started on August 21, 2023 and is acting as the primary donations
contact for the public and businesses. Duties include:
-Responding to calls and emails
-Coordinating storage, transportation and distribution of donated items
-Managing donations to ensure appropriate needs are met
Donations include items such as nonperishable food, clothing and toiletries. Donations management will transition to the Resiliency Centre
when appropriate.
The CSRD contacted local NGOs regarding their ability to take on donations management. The NGOs did not have the capacity, therefore
this position is a necessity.
Estimated duration: August 21, 2023  October 31, 2023
Total hours = 300
Rate = $35/hour to address 23-5162 - CSRD K21620 Lower East Adams Lake in Unknown. This is necessary for support emergency response efforts. ",11000.0,15000.0,15000.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-09-22,"Due to 23-5162 - CSRD K21620 Lower East Adams Lake at Unknown, Currently the SEP EOC is activated to a level 3 in support of wildfires fires in our area.
The EOC is requesting support for a Donations Manager. This position started on August 21, 2023 and is acting as the primary donations
contact for the public and businesses. Duties include:
-Responding to calls and emails
-Coordinating storage, transportation and distribution of donated items
-Managing donations to ensure appropriate needs are met
Donations include items such as nonperishable food, clothing and toiletries. Donations management will transition to the Resiliency Centre
when appropriate.
The CSRD contacted local NGOs regarding their ability to take on donations management. The NGOs did not have the capacity, therefore
this position is a necessity.
Estimated duration: August 21, 2023  October 31, 2023
Total hours = 300
Rate = $35/hour is needed. This expenditure will support emergency response efforts. ",11000.0,15000.0,15000.0,Expense request for EOC activation and operational costs.
22-1405 - CSRD Wiseman Cr Potential Landslide,2023-04-12,"Due to 22-1405 - CSRD Wiseman Cr Potential Landslide at Unknown, Original:
The Shuswap Emergency Program (SEP) was notified of a significant risk of debris flow/flood in the 
Sicamous and Wiseman Creeks following the 2021 Two-Mile Road Wildfire. According to a geotechnical 
risk analysis of the watershed, if a debris flow or severe debris flood were to occur in these watersheds
there would be a high potential for loss of life. 
With support from the province SEP hired the geotechnical firm BGC to develop a monitoring system 
that will give advance warning of a significant rainfall event likely to cause a debris flow/flood that would 
impact the residents below Sicamous and Wiseman Creek. SEP is requesting funding to cover the 
cost of this early warning system monitoring program for the 2023 season (May 1 to Nov 1).
Please see the attached Proposal from BGC for more details.
Amount requested: $52,000 not to exceed $52,000 is needed. This expenditure will support emergency response efforts. ",52000.0,52000.0,52000.0,Request for funds to address landslide or debris-related concerns.
22-1405 - CSRD Wiseman Cr Potential Landslide,2023-04-12,"Requesting Original:
The Shuswap Emergency Program (SEP) was notified of a significant risk of debris flow/flood in the 
Sicamous and Wiseman Creeks following the 2021 Two-Mile Road Wildfire. According to a geotechnical 
risk analysis of the watershed, if a debris flow or severe debris flood were to occur in these watersheds
there would be a high potential for loss of life. 
With support from the province SEP hired the geotechnical firm BGC to develop a monitoring system 
that will give advance warning of a significant rainfall event likely to cause a debris flow/flood that would 
impact the residents below Sicamous and Wiseman Creek. SEP is requesting funding to cover the 
cost of this early warning system monitoring program for the 2023 season (May 1 to Nov 1).
Please see the attached Proposal from BGC for more details.
Amount requested: $52,000 not to exceed $52,000 to address 22-1405 - CSRD Wiseman Cr Potential Landslide in Unknown. This is necessary for support emergency response efforts. ",52000.0,52000.0,52000.0,Request for funds to address landslide or debris-related concerns.
22-1405 - CSRD Wiseman Cr Potential Landslide,2023-04-12,"Original:
The Shuswap Emergency Program (SEP) was notified of a significant risk of debris flow/flood in the 
Sicamous and Wiseman Creeks following the 2021 Two-Mile Road Wildfire. According to a geotechnical 
risk analysis of the watershed, if a debris flow or severe debris flood were to occur in these watersheds
there would be a high potential for loss of life. 
With support from the province SEP hired the geotechnical firm BGC to develop a monitoring system 
that will give advance warning of a significant rainfall event likely to cause a debris flow/flood that would 
impact the residents below Sicamous and Wiseman Creek. SEP is requesting funding to cover the 
cost of this early warning system monitoring program for the 2023 season (May 1 to Nov 1).
Please see the attached Proposal from BGC for more details.
Amount requested: $52,000 not to exceed $52,000 is required for 22-1405 - CSRD Wiseman Cr Potential Landslide response in Unknown. support emergency response efforts. ",52000.0,52000.0,52000.0,Request for funds to address landslide or debris-related concerns.
24-5422 - CSRD EOC Activation - Hullcar fire K41796,2024-08-12,"Requesting The CSRD EOC is activated in response to the Hullcar Mountain fire. Evacuation Orders and Alerts have been
in place since August 6.
The EOC set up a remote Communications Centre at the Silver Creek firehall providing accurate information regarding the fire and
evacuation information to residents that are on Alert. 
In order to access EMCR and BCWS mapping dashboards, this remote centre required internet. The CSRD set up their Starlink Satellite
system to provide internet.
The EOC is requesting funds to cover the cost to activate the Starlink system. to address 24-5422 - CSRD EOC Activation - Hullcar fire K41796 in Unknown. This is necessary for support emergency response efforts. ",170.0,200.0,200.0,Expense request for EOC activation and operational costs.
24-5422 - CSRD EOC Activation - Hullcar fire K41796,2024-08-12,"Requesting The CSRD EOC is activated in response to the Hullcar Mountain fire. Evacuation Orders and Alerts have been
in place since August 6.
The EOC set up a remote Communications Centre at the Silver Creek firehall providing accurate information regarding the fire and
evacuation information to residents that are on Alert. 
In order to access EMCR and BCWS mapping dashboards, this remote centre required internet. The CSRD set up their Starlink Satellite
system to provide internet.
The EOC is requesting funds to cover the cost to activate the Starlink system. to address 24-5422 - CSRD EOC Activation - Hullcar fire K41796 in Unknown. This is necessary for support emergency response efforts. ",170.0,200.0,200.0,Expense request for EOC activation and operational costs.
24-5422 - CSRD EOC Activation - Hullcar fire K41796,2024-08-12,"Due to 24-5422 - CSRD EOC Activation - Hullcar fire K41796 at Unknown, The CSRD EOC is activated in response to the Hullcar Mountain fire. Evacuation Orders and Alerts have been
in place since August 6.
The EOC set up a remote Communications Centre at the Silver Creek firehall providing accurate information regarding the fire and
evacuation information to residents that are on Alert. 
In order to access EMCR and BCWS mapping dashboards, this remote centre required internet. The CSRD set up their Starlink Satellite
system to provide internet.
The EOC is requesting funds to cover the cost to activate the Starlink system. is needed. This expenditure will support emergency response efforts. ",170.0,200.0,200.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-09-22,"From August 18 to September 6, 2023, the Area F Communities of Lee Creek, Scotch Creek, and Magna Bay
were placed under evacuation order due to the threat of the Bush Creek East Wildfire. The wildfire compromised the main access through
the evacuation order zones, and it was therefore closed to the public in the order zones as well as the communities east of the order
zones including Anglemont, St. Ives and Seymour Arm. The Lakeview Community Centre, a non-profit organization in Anglemont, was
activated during the wildfire response as a Remote Reception and Donation Management Facility for first responders, essential workers,
and residents sheltering in place.
The Services provided by the Lakeview Center include:
-Volunteers used the kitchen to prepare and serve food for first responders (EAF 2023-29)
-The basement was used to store and distribute non-perishable food items and soft goods (clothing, blankets, etc.)
-Drop off and pick up location for donations for residents of Anglemont, St. Ives, and Seymour Arm
This funding request is to cover rental costs of the Lakeview Centre, as well as generator fuel used to run the kitchen while power was
down in the area.
$250/day x 20 days = $5,000 is required for 23-5162 - CSRD K21620 Lower East Adams Lake response in Unknown. support emergency response efforts. ",5000.0,6500.0,6500.0,Funding request to support emergency response efforts.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-09-22,"To mitigate 23-5162 - CSRD K21620 Lower East Adams Lake risks at Unknown, From August 18 to September 6, 2023, the Area F Communities of Lee Creek, Scotch Creek, and Magna Bay
were placed under evacuation order due to the threat of the Bush Creek East Wildfire. The wildfire compromised the main access through
the evacuation order zones, and it was therefore closed to the public in the order zones as well as the communities east of the order
zones including Anglemont, St. Ives and Seymour Arm. The Lakeview Community Centre, a non-profit organization in Anglemont, was
activated during the wildfire response as a Remote Reception and Donation Management Facility for first responders, essential workers,
and residents sheltering in place.
The Services provided by the Lakeview Center include:
-Volunteers used the kitchen to prepare and serve food for first responders (EAF 2023-29)
-The basement was used to store and distribute non-perishable food items and soft goods (clothing, blankets, etc.)
-Drop off and pick up location for donations for residents of Anglemont, St. Ives, and Seymour Arm
This funding request is to cover rental costs of the Lakeview Centre, as well as generator fuel used to run the kitchen while power was
down in the area.
$250/day x 20 days = $5,000 is necessary. This expenditure supports support emergency response efforts. ",5000.0,6500.0,6500.0,Funding request to support emergency response efforts.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-09-22,"To mitigate 23-5162 - CSRD K21620 Lower East Adams Lake risks at Unknown, From August 18 to September 6, 2023, the Area F Communities of Lee Creek, Scotch Creek, and Magna Bay
were placed under evacuation order due to the threat of the Bush Creek East Wildfire. The wildfire compromised the main access through
the evacuation order zones, and it was therefore closed to the public in the order zones as well as the communities east of the order
zones including Anglemont, St. Ives and Seymour Arm. The Lakeview Community Centre, a non-profit organization in Anglemont, was
activated during the wildfire response as a Remote Reception and Donation Management Facility for first responders, essential workers,
and residents sheltering in place.
The Services provided by the Lakeview Center include:
-Volunteers used the kitchen to prepare and serve food for first responders (EAF 2023-29)
-The basement was used to store and distribute non-perishable food items and soft goods (clothing, blankets, etc.)
-Drop off and pick up location for donations for residents of Anglemont, St. Ives, and Seymour Arm
This funding request is to cover rental costs of the Lakeview Centre, as well as generator fuel used to run the kitchen while power was
down in the area.
$250/day x 20 days = $5,000 is necessary. This expenditure supports support emergency response efforts. ",5000.0,6500.0,6500.0,Funding request to support emergency response efforts.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-16,"Currently the SEP EOC is activated to a level 3 in support of wildfires in our area. An evacuation alert has been
issued for the properties on the lower east side of Adams Lake and includes the properties of Dorian Bay, Woolford Point, Enns Reach and
Lee Creek in the CSRD.
The EOC requires communications support as we do not have adequate staff coverage for the role of Information Officer within the EOC
from Friday, August 18th to Friday, August 25th.
The EOC is requesting funds to cover the contract of an Information Officer from Butterfly Effect Communications. The cost will be
$1,000/day for seven days, with a maximum of ten days. is required for 23-5162 - CSRD K21620 Lower East Adams Lake response in Unknown. support emergency response efforts. ",10000.0,10000.0,10000.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-16,"Currently the SEP EOC is activated to a level 3 in support of wildfires in our area. An evacuation alert has been
issued for the properties on the lower east side of Adams Lake and includes the properties of Dorian Bay, Woolford Point, Enns Reach and
Lee Creek in the CSRD.
The EOC requires communications support as we do not have adequate staff coverage for the role of Information Officer within the EOC
from Friday, August 18th to Friday, August 25th.
The EOC is requesting funds to cover the contract of an Information Officer from Butterfly Effect Communications. The cost will be
$1,000/day for seven days, with a maximum of ten days. is required for 23-5162 - CSRD K21620 Lower East Adams Lake response in Unknown. support emergency response efforts. ",10000.0,10000.0,10000.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-16,"Due to 23-5162 - CSRD K21620 Lower East Adams Lake at Unknown, Currently the SEP EOC is activated to a level 3 in support of wildfires in our area. An evacuation alert has been
issued for the properties on the lower east side of Adams Lake and includes the properties of Dorian Bay, Woolford Point, Enns Reach and
Lee Creek in the CSRD.
The EOC requires communications support as we do not have adequate staff coverage for the role of Information Officer within the EOC
from Friday, August 18th to Friday, August 25th.
The EOC is requesting funds to cover the contract of an Information Officer from Butterfly Effect Communications. The cost will be
$1,000/day for seven days, with a maximum of ten days. is needed. This expenditure will support emergency response efforts. ",10000.0,10000.0,10000.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-19,"Requesting Currently the SEP EOC is activated to a level 3 in support of wildfires fires in our area.
There are currently First Responders actively working in Evacuation Alert and Order Areas without
access to food and water. Requesting funds to cover meals and beverages for up to 100 First
Responders for up to the next three days (Aug 19  Aug 22) to address 23-5162 - CSRD K21620 Lower East Adams Lake in Unknown. This is necessary for support emergency response efforts. ",10000.0,12000.0,12000.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-19,"Requesting Currently the SEP EOC is activated to a level 3 in support of wildfires fires in our area.
There are currently First Responders actively working in Evacuation Alert and Order Areas without
access to food and water. Requesting funds to cover meals and beverages for up to 100 First
Responders for up to the next three days (Aug 19  Aug 22) to address 23-5162 - CSRD K21620 Lower East Adams Lake in Unknown. This is necessary for support emergency response efforts. ",10000.0,12000.0,12000.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-19,"Due to 23-5162 - CSRD K21620 Lower East Adams Lake at Unknown, Currently the SEP EOC is activated to a level 3 in support of wildfires fires in our area.
There are currently First Responders actively working in Evacuation Alert and Order Areas without
access to food and water. Requesting funds to cover meals and beverages for up to 100 First
Responders for up to the next three days (Aug 19  Aug 22) is needed. This expenditure will support emergency response efforts. ",10000.0,12000.0,12000.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-29,"Due to 23-5162 - CSRD K21620 Lower East Adams Lake at Unknown, Dozens of properties within the CSRD communities of Lee Creek, Scotch Creek, Celista, Magna Bay,
Woolford Bay, Dorian Bay and Sorrento. CSRD Building Inspectors will be required to attend these
properties to undertake Rapid Damage Assessments. They require training to do this and specialized
PPE to keep them safe when on site (specialized masks, eye wear and boots)
RDA training is provided by BC Housing Management Commission 
Costs are anticipated to be $300 for the courses and $750 for the PPE. is needed. This expenditure will support emergency response efforts. ",1050.0,1500.0,1500.0,Funding request to support emergency response efforts.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-29,"Dozens of properties within the CSRD communities of Lee Creek, Scotch Creek, Celista, Magna Bay,
Woolford Bay, Dorian Bay and Sorrento. CSRD Building Inspectors will be required to attend these
properties to undertake Rapid Damage Assessments. They require training to do this and specialized
PPE to keep them safe when on site (specialized masks, eye wear and boots)
RDA training is provided by BC Housing Management Commission 
Costs are anticipated to be $300 for the courses and $750 for the PPE. is required for 23-5162 - CSRD K21620 Lower East Adams Lake response in Unknown. support emergency response efforts. ",1050.0,1500.0,1500.0,Funding request to support emergency response efforts.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-29,"Dozens of properties within the CSRD communities of Lee Creek, Scotch Creek, Celista, Magna Bay,
Woolford Bay, Dorian Bay and Sorrento. CSRD Building Inspectors will be required to attend these
properties to undertake Rapid Damage Assessments. They require training to do this and specialized
PPE to keep them safe when on site (specialized masks, eye wear and boots)
RDA training is provided by BC Housing Management Commission 
Costs are anticipated to be $300 for the courses and $750 for the PPE. is required for 23-5162 - CSRD K21620 Lower East Adams Lake response in Unknown. support emergency response efforts. ",1050.0,1500.0,1500.0,Funding request to support emergency response efforts.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-27,"Requesting Currently the SEP EOC is activated to a level 3 in support of wildfires fires in our area.
The CSRD requires a specialized resource to assume the management and oversight responsibilities for
the CSRD Resiliency Centre related to the 2023 Bush Creek East wildfire. As the requirement / need for
ESS support services diminishes, the need for post ESS support for evacuees and impacted individuals
will increase. The CSRD will not have a resource available to assume this role while EOC activities are
underway.
Costs include 160 hours of contractor time @ $115 / hr, meals for 3 days per week, accommodations,
and mileage. to address 23-5162 - CSRD K21620 Lower East Adams Lake in Unknown. This is necessary for support emergency response efforts. ",25000.0,30000.0,30000.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-27,"Due to 23-5162 - CSRD K21620 Lower East Adams Lake at Unknown, Currently the SEP EOC is activated to a level 3 in support of wildfires fires in our area.
The CSRD requires a specialized resource to assume the management and oversight responsibilities for
the CSRD Resiliency Centre related to the 2023 Bush Creek East wildfire. As the requirement / need for
ESS support services diminishes, the need for post ESS support for evacuees and impacted individuals
will increase. The CSRD will not have a resource available to assume this role while EOC activities are
underway.
Costs include 160 hours of contractor time @ $115 / hr, meals for 3 days per week, accommodations,
and mileage. is needed. This expenditure will support emergency response efforts. ",25000.0,30000.0,30000.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-27,"To mitigate 23-5162 - CSRD K21620 Lower East Adams Lake risks at Unknown, Currently the SEP EOC is activated to a level 3 in support of wildfires fires in our area.
The CSRD requires a specialized resource to assume the management and oversight responsibilities for
the CSRD Resiliency Centre related to the 2023 Bush Creek East wildfire. As the requirement / need for
ESS support services diminishes, the need for post ESS support for evacuees and impacted individuals
will increase. The CSRD will not have a resource available to assume this role while EOC activities are
underway.
Costs include 160 hours of contractor time @ $115 / hr, meals for 3 days per week, accommodations,
and mileage. is necessary. This expenditure supports support emergency response efforts. ",25000.0,30000.0,30000.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-09-14,"Due to 23-5162 - CSRD K21620 Lower East Adams Lake at Unknown, The Premier (David Eby) and approximately 10 other government officials visited Salmon Arm and the CSRD
on Monday, September 11, 2023. The purpose of their visit was to connect and de-brief with EOC staff and view the area impacted by the
wildfire event. Their tour of the impacted wildfire area was done as a fly-over. Vehicle transportation for this was not required. 
This funding request is to cover the cost of transportation for the Premiers Tour. The CSRD arranged a van to provide transportation. The
group was picked up at the Shuswap (Salmon Arm) Regional Airport and driven around Salmon Arm before returning to the Airport in the
evening. 
Noble Adventures provided a quote of $800 for a 10-hour day and $80/hour after that. This quote includes the van rental, fuel, and a
driver. The CSRD booked the van for 1 day. 
$800 (8AM  6PM) 
$80 x 2 hours (7PM  9PM) = $160 
Total Request: $960 is needed. This expenditure will support emergency response efforts. ",1000.0,1300.0,1300.0,Funding request to support emergency response efforts.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-09-14,"Requesting The Premier (David Eby) and approximately 10 other government officials visited Salmon Arm and the CSRD
on Monday, September 11, 2023. The purpose of their visit was to connect and de-brief with EOC staff and view the area impacted by the
wildfire event. Their tour of the impacted wildfire area was done as a fly-over. Vehicle transportation for this was not required. 
This funding request is to cover the cost of transportation for the Premiers Tour. The CSRD arranged a van to provide transportation. The
group was picked up at the Shuswap (Salmon Arm) Regional Airport and driven around Salmon Arm before returning to the Airport in the
evening. 
Noble Adventures provided a quote of $800 for a 10-hour day and $80/hour after that. This quote includes the van rental, fuel, and a
driver. The CSRD booked the van for 1 day. 
$800 (8AM  6PM) 
$80 x 2 hours (7PM  9PM) = $160 
Total Request: $960 to address 23-5162 - CSRD K21620 Lower East Adams Lake in Unknown. This is necessary for support emergency response efforts. ",1000.0,1300.0,1300.0,Funding request to support emergency response efforts.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-09-14,"Due to 23-5162 - CSRD K21620 Lower East Adams Lake at Unknown, The Premier (David Eby) and approximately 10 other government officials visited Salmon Arm and the CSRD
on Monday, September 11, 2023. The purpose of their visit was to connect and de-brief with EOC staff and view the area impacted by the
wildfire event. Their tour of the impacted wildfire area was done as a fly-over. Vehicle transportation for this was not required. 
This funding request is to cover the cost of transportation for the Premiers Tour. The CSRD arranged a van to provide transportation. The
group was picked up at the Shuswap (Salmon Arm) Regional Airport and driven around Salmon Arm before returning to the Airport in the
evening. 
Noble Adventures provided a quote of $800 for a 10-hour day and $80/hour after that. This quote includes the van rental, fuel, and a
driver. The CSRD booked the van for 1 day. 
$800 (8AM  6PM) 
$80 x 2 hours (7PM  9PM) = $160 
Total Request: $960 is needed. This expenditure will support emergency response efforts. ",1000.0,1300.0,1300.0,Funding request to support emergency response efforts.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-24,"Currently the SEP EOC is activated to a level 3 in support of wildfires in
our area.
Information officer support for the CSRD are significant due to the complexity of the situation, geography,
length of impact, locations of evacuees, significant losses and ongoing fire activity. Resources will be
split into smaller teams focused around needs which include communications planning (including
structure loss notifications), media relations, social/digital media, information line support, and
emergency response. As well, due to the length of the emergency, time-off and backfill will need to be
managed over several weeks. A variety of experience is needed to support the emergency, including
senior strategists, generalists, digital specialists and coordinators. Resources will focus first on
communications planning to support response, structure loss notification and re-entry. Further resources
may be required once situational awareness is complete.
Consultant has provided the estimated costs:
On-site until the end of September = 5 people x 1,300 x 7 days x number of weeks
Remote until the end of September = 7 people x $960 x 7 days x number of weeks
Weekly costs total $92,540 to end of September (5 weeks) is required for 23-5162 - CSRD K21620 Lower East Adams Lake response in Unknown. support emergency response efforts. ",300000.0,500000.0,300000.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-24,"Requesting Currently the SEP EOC is activated to a level 3 in support of wildfires in
our area.
Information officer support for the CSRD are significant due to the complexity of the situation, geography,
length of impact, locations of evacuees, significant losses and ongoing fire activity. Resources will be
split into smaller teams focused around needs which include communications planning (including
structure loss notifications), media relations, social/digital media, information line support, and
emergency response. As well, due to the length of the emergency, time-off and backfill will need to be
managed over several weeks. A variety of experience is needed to support the emergency, including
senior strategists, generalists, digital specialists and coordinators. Resources will focus first on
communications planning to support response, structure loss notification and re-entry. Further resources
may be required once situational awareness is complete.
Consultant has provided the estimated costs:
On-site until the end of September = 5 people x 1,300 x 7 days x number of weeks
Remote until the end of September = 7 people x $960 x 7 days x number of weeks
Weekly costs total $92,540 to end of September (5 weeks) to address 23-5162 - CSRD K21620 Lower East Adams Lake in Unknown. This is necessary for support emergency response efforts. ",300000.0,500000.0,300000.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-24,"To mitigate 23-5162 - CSRD K21620 Lower East Adams Lake risks at Unknown, Currently the SEP EOC is activated to a level 3 in support of wildfires in
our area.
Information officer support for the CSRD are significant due to the complexity of the situation, geography,
length of impact, locations of evacuees, significant losses and ongoing fire activity. Resources will be
split into smaller teams focused around needs which include communications planning (including
structure loss notifications), media relations, social/digital media, information line support, and
emergency response. As well, due to the length of the emergency, time-off and backfill will need to be
managed over several weeks. A variety of experience is needed to support the emergency, including
senior strategists, generalists, digital specialists and coordinators. Resources will focus first on
communications planning to support response, structure loss notification and re-entry. Further resources
may be required once situational awareness is complete.
Consultant has provided the estimated costs:
On-site until the end of September = 5 people x 1,300 x 7 days x number of weeks
Remote until the end of September = 7 people x $960 x 7 days x number of weeks
Weekly costs total $92,540 to end of September (5 weeks) is necessary. This expenditure supports support emergency response efforts. ",300000.0,500000.0,300000.0,Expense request for EOC activation and operational costs.
